IDs;Word;ARPA Pron;Real Word Flag;Joy;Sadness;Anger;Disgust;Fear;Surprise
282;thoach;th ow ch;0;0.3125;0.6458;0.6667;0.4167;0.625;0.3542
283;thouche;th aw sh;0;0.6875;0.4167;0.2917;0.3542;0.3125;0.5625
284;thrace;th r ey s;0;0.5625;0.4375;0.5;0.5417;0.3958;0.5208
285;thrarn;th r aa r n;0;0.3125;0.7083;0.5833;0.7083;0.75;0.4792
286;threll;th r eh l;0;0.6667;0.375;0.5;0.3542;0.5;0.6458
287;throaf;th r ow f;0;0.4792;0.5;0.5208;0.625;0.5208;0.5625
288;throoch;th r uw ch;0;0.4583;0.4375;0.4792;0.4583;0.6875;0.8958
289;throul;th r aw l;0;0.4583;0.5;0.5;0.5625;0.625;0.5417
290;thuiff;th uw f;0;0.4375;0.3125;0.4583;0.5;0.3958;0.6667
291;thuit;th uw t;0;0.4375;0.5417;0.5208;0.5208;0.4375;0.4792
292;thwark;th w aa r k;0;0.5625;0.3958;0.7083;0.4375;0.4583;0.375
293;thwealt;th w iy l t;0;0.6875;0.5625;0.7917;0.625;0.7708;0.7292
294;thwed;th w eh d;0;0.4583;0.5417;0.4583;0.4583;0.4792;0.6042
295;thwef;th w eh f;0;0.5625;0.4167;0.6458;0.5833;0.625;0.4583
296;thwick;th w ih k;0;0.7917;0.25;0.6042;0.2917;0.375;0.5208
297;thwil;th w ih l;0;0.6458;0.625;0.5208;0.4375;0.6458;0.5833
298;thwove;th w ow v;0;0.6667;0.5833;0.3958;0.2708;0.4792;0.5833
299;tish;t ih sh;0;0.7292;0.1875;0.125;0.2917;0.2292;0.75
300;tource;t uw r s;0;0.3125;0.6667;0.6875;0.6667;0.5417;0.375
301;trarse;t r aa r s;0;0.5625;0.5;0.5;0.5208;0.4167;0.4167
302;trasque;t r ae s k;0;0.5625;0.5833;0.7083;0.4583;0.5833;0.4167
303;treal;t r iy l;0;0.4375;0.5417;0.5208;0.4375;0.4167;0.375
