,angry_Anger,enraged_Anger,irate_Anger,furious_Anger,mad_Anger,outraged_Anger,livid_Anger,infuriate_Anger,wrathful_Anger,disgusted_Disgust,sick_Disgust,nauseated_Disgust,repelled_Disgust,repulsed_Disgust,revolted_Disgust,displeased_Disgust,afraid_Fear,scared_Fear,frightened _Fear,terrified_Fear,fearful_Fear,alarmed_Fear,worried_Fear,spooked_Fear,happy_Joy,delighted_Joy,pleased_Joy,glad_Joy,satisfied_Joy,joyful_Joy,cheerful_Joy,smiling_Joy,thrilled_Joy,unhappy_Sadness,heartbroken_Sadness,depressed_Sadness,miserable_Sadness,melancholy_Sadness,sorrowful_Sadness,gloomy_Sadness,depressing_Sadness,surprised_Surprise,dumfounded_Surprise,amazed_Surprise,astonished_Surprise,astounded_Surprise,wondering_Surprise,awed_Surprise,flabbergasted_Surprise,stunned_Surprise
gnewn,0.863318681716919,0.8613186478614807,0.8714803457260132,0.858991801738739,0.8813203573226929,0.8571555614471436,0.8798093795776367,0.8704449534416199,0.8531270623207092,0.8625125288963318,0.8944085836410522,0.8847694396972656,0.8534500598907471,0.8815839886665344,0.884291410446167,0.8329215049743652,0.8344041109085083,0.8692294955253601,0.8517665863037109,0.8322603702545166,0.8557344675064087,0.8713892698287964,0.8483120203018188,0.8602474927902222,0.8799095749855042,0.8698056936264038,0.8773448467254639,0.8803249597549438,0.8695402145385742,0.8544098138809204,0.8543134927749634,0.8192950487136841,0.8684391379356384,0.8558632731437683,0.8669071197509766,0.875196099281311,0.843610405921936,0.8291187882423401,0.8738704919815063,0.8082152605056763,0.8451420068740845,0.8306776285171509,0.870520293712616,0.8707534074783325,0.8721872568130493,0.8776979446411133,0.8327755928039551,0.8982188105583191,0.8871405720710754,0.8595790863037109
gnirl,0.8442286849021912,0.8546395301818848,0.8646888136863708,0.8478273153305054,0.9247585535049438,0.8673097491264343,0.8887137174606323,0.8558852672576904,0.8460805416107178,0.8835485577583313,0.8827121257781982,0.8816449642181396,0.8455160856246948,0.8914895057678223,0.8746441602706909,0.8410155773162842,0.8371076583862305,0.8707963228225708,0.8591811656951904,0.835879921913147,0.8414690494537354,0.876144289970398,0.8560665845870972,0.8811309933662415,0.8678900599479675,0.8619844317436218,0.8785027861595154,0.8645792007446289,0.8738096952438354,0.8484448790550232,0.8513363599777222,0.8394210338592529,0.8664448857307434,0.8519895672798157,0.8717169165611267,0.8833582401275635,0.8404202461242676,0.8221156597137451,0.8428624272346497,0.8016598224639893,0.8696390390396118,0.8539060354232788,0.8496492505073547,0.8713825941085815,0.8584040403366089,0.872817873954773,0.8315490484237671,0.8819675445556641,0.8838340044021606,0.8479882478713989
gnont,0.8811503052711487,0.8890451192855835,0.9087660312652588,0.8939368724822998,0.9051172733306885,0.9015161991119385,0.9146363735198975,0.899768590927124,0.8777258396148682,0.8994865417480469,0.9259058237075806,0.9208779335021973,0.886236846446991,0.9174249768257141,0.9084254503250122,0.8645020723342896,0.8795903921127319,0.9092239737510681,0.891583263874054,0.8767198324203491,0.8875434994697571,0.911986768245697,0.8927922248840332,0.8896341323852539,0.9112590551376343,0.9080357551574707,0.9157554507255554,0.9081381559371948,0.9043930768966675,0.8849260807037354,0.8726668357849121,0.836784839630127,0.9008420705795288,0.8831887245178223,0.9001824855804443,0.9033262729644775,0.8444390296936035,0.8387854099273682,0.8909351825714111,0.8309463858604431,0.8802473545074463,0.8663184642791748,0.8927779197692871,0.9083043336868286,0.9155573844909668,0.9148869514465332,0.8635014295578003,0.9306619167327881,0.9228905439376831,0.8874918818473816
gnuiche,0.8362177014350891,0.8412834405899048,0.8428068161010742,0.8377766013145447,0.880908727645874,0.8359348773956299,0.849145770072937,0.8575138449668884,0.8442438840866089,0.8426746726036072,0.8640471696853638,0.8602877855300903,0.8299370408058167,0.8586078882217407,0.8575868606567383,0.8119894862174988,0.8144696950912476,0.8394526243209839,0.8237853050231934,0.8003199696540833,0.8271615505218506,0.8381186723709106,0.8279255628585815,0.8475198149681091,0.8546879887580872,0.8432156443595886,0.8510642647743225,0.8520475029945374,0.8461000919342041,0.8392612934112549,0.8401817083358765,0.8246864676475525,0.8452364206314087,0.8371873497962952,0.8372739553451538,0.8432325124740601,0.8391523361206055,0.8025663495063782,0.8211355805397034,0.7901098728179932,0.8205249309539795,0.8207265734672546,0.8584887385368347,0.8446098566055298,0.8429290056228638,0.8478405475616455,0.8139277100563049,0.8613107204437256,0.8588757514953613,0.8291655778884888
goch,0.8986656665802002,0.9006446003913879,0.9284515976905823,0.9102059602737427,0.9072190523147583,0.9169780611991882,0.9387820959091187,0.9167711734771729,0.9045877456665039,0.9179636240005493,0.9479972124099731,0.941697359085083,0.9095238447189331,0.9399942755699158,0.9211681485176086,0.87640380859375,0.8827409744262695,0.9229410886764526,0.9121832847595215,0.893979549407959,0.9010997414588928,0.9322463274002075,0.8898138999938965,0.8999457359313965,0.9240589141845703,0.939161479473114,0.9356530904769897,0.9038755893707275,0.9134749174118042,0.9097039103507996,0.8915624618530273,0.84049391746521,0.9283545613288879,0.889543890953064,0.9214683771133423,0.9207531213760376,0.8768133521080017,0.8640058040618896,0.907403826713562,0.8390814661979675,0.9010426998138428,0.8672890663146973,0.9045034646987915,0.9224072098731995,0.9348249435424805,0.9381952285766602,0.8699941635131836,0.9594326019287109,0.9501721858978271,0.9112731218338013
gorth,0.860532820224762,0.8613680601119995,0.8902548551559448,0.8755621910095215,0.8569212555885315,0.8717257380485535,0.8873567581176758,0.8797957897186279,0.8943848609924316,0.8691060543060303,0.8992779850959778,0.8890950679779053,0.8684350252151489,0.8876148462295532,0.8819360733032227,0.8310766220092773,0.8624933362007141,0.8762041926383972,0.8676837682723999,0.8574049472808838,0.8802370429039001,0.8856960535049438,0.8647677898406982,0.8530296087265015,0.8854147791862488,0.888008177280426,0.8875398635864258,0.867749810218811,0.8719033002853394,0.8822814226150513,0.8620719909667969,0.8164637684822083,0.8738468885421753,0.8544192910194397,0.8759119510650635,0.8716667890548706,0.837002694606781,0.822906494140625,0.8838382959365845,0.8103097677230835,0.8532191514968872,0.8284302949905396,0.8627016544342041,0.8809729218482971,0.8961161375045776,0.8954365849494934,0.8354924917221069,0.913806140422821,0.8969836235046387,0.8687747716903687
gralp,0.8595420122146606,0.865168571472168,0.87925785779953,0.8611884117126465,0.8961896896362305,0.8590407371520996,0.875686526298523,0.8660080432891846,0.8712465763092041,0.8616656064987183,0.8887192010879517,0.8779666423797607,0.8642065525054932,0.8799012303352356,0.8771307468414307,0.8432101011276245,0.8751227855682373,0.8739491701126099,0.8503299355506897,0.8414409160614014,0.8667857050895691,0.8743191957473755,0.8564575910568237,0.8607051372528076,0.8913722038269043,0.8739356994628906,0.8802366256713867,0.9087660908699036,0.8751399517059326,0.8730027675628662,0.8607693910598755,0.8323919773101807,0.8636014461517334,0.8717657327651978,0.8667134046554565,0.8742344379425049,0.8374272584915161,0.8329522609710693,0.852121114730835,0.8085505962371826,0.8482843637466431,0.842801570892334,0.8528446555137634,0.8758677244186401,0.8765877485275269,0.8753283023834229,0.8300517797470093,0.8952751159667969,0.8842403888702393,0.8554315567016602
gream,0.8583168983459473,0.8633232116699219,0.8942694067955017,0.8656144738197327,0.867734968662262,0.8682460784912109,0.8924051523208618,0.8789949417114258,0.8534307479858398,0.8732612133026123,0.9069215059280396,0.8952435255050659,0.8679764270782471,0.8914216756820679,0.8682389259338379,0.8423885107040405,0.862850546836853,0.8822199106216431,0.8614327311515808,0.8550559878349304,0.868897020816803,0.8923132419586182,0.8493663668632507,0.8610600233078003,0.8872499465942383,0.8812410831451416,0.8889028429985046,0.8881862163543701,0.8747689723968506,0.8568764925003052,0.8647199869155884,0.8084605932235718,0.8768570423126221,0.8597838878631592,0.8810874223709106,0.8880620002746582,0.8277411460876465,0.8248598575592041,0.859528660774231,0.8092927932739258,0.8669759035110474,0.8285484313964844,0.8477463722229004,0.8855099678039551,0.8829842209815979,0.88929283618927,0.8279610872268677,0.9185279011726379,0.9020681381225586,0.8626606464385986
groose,0.8726767301559448,0.8853526711463928,0.9105655550956726,0.8958083391189575,0.888452410697937,0.8878766298294067,0.9027726650238037,0.9101946949958801,0.8769454956054688,0.8888450860977173,0.9177778959274292,0.9107012748718262,0.8826956152915955,0.909532904624939,0.8914972543716431,0.8554102182388306,0.8735013604164124,0.8955554962158203,0.8795022964477539,0.8609258532524109,0.8765586614608765,0.9008989334106445,0.8722937107086182,0.886467695236206,0.9043830037117004,0.9008496403694153,0.9034935235977173,0.887294590473175,0.890596866607666,0.8766939640045166,0.8714168071746826,0.8277025818824768,0.8961104154586792,0.8797694444656372,0.8911964893341064,0.9002823233604431,0.8652796745300293,0.8381329774856567,0.8900212645530701,0.830210268497467,0.8715783357620239,0.8542252779006958,0.8824341893196106,0.9033368825912476,0.9125528335571289,0.9128890037536621,0.8491153717041016,0.9265948534011841,0.9169018864631653,0.8806394338607788
grulch,0.8392212390899658,0.839340090751648,0.8439563512802124,0.8536226749420166,0.8902740478515625,0.840801477432251,0.8536697626113892,0.8359580039978027,0.8508776426315308,0.8497791290283203,0.86968994140625,0.8570142984390259,0.8243942260742188,0.860379695892334,0.8571464419364929,0.801708459854126,0.8285938501358032,0.8470352292060852,0.8305054306983948,0.811184287071228,0.8262449502944946,0.8414242267608643,0.8359359502792358,0.844978928565979,0.8622018694877625,0.8503798246383667,0.8532607555389404,0.8601856827735901,0.852566659450531,0.8490610122680664,0.8488630056381226,0.8245494961738586,0.844293475151062,0.8396228551864624,0.841214656829834,0.8495697975158691,0.8229188919067383,0.8231058120727539,0.8356636762619019,0.7805774211883545,0.8290013670921326,0.8335009813308716,0.8404098749160767,0.8502416610717773,0.8451666235923767,0.8477001190185547,0.8069608211517334,0.8645371198654175,0.8579239845275879,0.8302915096282959
grull,0.8088240623474121,0.8153200149536133,0.827914834022522,0.8332103490829468,0.8104676008224487,0.8233708739280701,0.838441014289856,0.8237422704696655,0.8475289344787598,0.8195538520812988,0.837181806564331,0.8417695760726929,0.8090866804122925,0.8359394073486328,0.8233341574668884,0.7829357385635376,0.8029282093048096,0.8154640197753906,0.8054380416870117,0.793578565120697,0.8212774395942688,0.8264070749282837,0.7975639700889587,0.8035202026367188,0.8110848665237427,0.8220929503440857,0.8292226791381836,0.8290665149688721,0.8081976175308228,0.8152215480804443,0.7910580635070801,0.7656377553939819,0.8306156396865845,0.8070966005325317,0.8185240030288696,0.8247485756874084,0.7945777773857117,0.7696260213851929,0.8269445300102234,0.7593372464179993,0.8039856553077698,0.7652196288108826,0.8257600665092468,0.807462751865387,0.8174540996551514,0.8253499269485474,0.7671853303909302,0.8466849327087402,0.8395459651947021,0.804282546043396
guit,0.8939715027809143,0.8950332403182983,0.9261757135391235,0.9109915494918823,0.9082154631614685,0.9153419733047485,0.9369485974311829,0.9155632853507996,0.897646427154541,0.9177956581115723,0.9508644938468933,0.9398790597915649,0.9067997932434082,0.9364356994628906,0.9191745519638062,0.876452624797821,0.8765097260475159,0.9148340821266174,0.8992533683776855,0.8812593817710876,0.8935716152191162,0.9274464845657349,0.890838623046875,0.8943507671356201,0.9321767091751099,0.9229118824005127,0.9265273809432983,0.9243519306182861,0.9237157106399536,0.9031840562820435,0.8813515901565552,0.8455716371536255,0.9162675142288208,0.8968026041984558,0.9218445420265198,0.924769937992096,0.8659840822219849,0.8581907749176025,0.903613805770874,0.8466993570327759,0.8999589681625366,0.8721855282783508,0.904974102973938,0.9221978783607483,0.9280223250389099,0.9327169060707092,0.8749052286148071,0.9571683406829834,0.9448889493942261,0.9039262533187866
gwamp,0.8474463820457458,0.8413853645324707,0.8542081117630005,0.842444658279419,0.8592239618301392,0.8452976942062378,0.8600586652755737,0.8560001850128174,0.8532106280326843,0.8419584035873413,0.8676016330718994,0.8616254925727844,0.8470726013183594,0.8636317253112793,0.8624618649482727,0.8319355249404907,0.8332109451293945,0.8526835441589355,0.8437384366989136,0.8277953267097473,0.8386873006820679,0.8702398538589478,0.8424440622329712,0.8377357721328735,0.8652490377426147,0.8538607358932495,0.857627272605896,0.8765719532966614,0.8423337936401367,0.8451356887817383,0.8232587575912476,0.7977825403213501,0.8521161079406738,0.856620192527771,0.8420431613922119,0.852857232093811,0.809765100479126,0.7860283851623535,0.8367334604263306,0.8016619086265564,0.8227676749229431,0.8217554092407227,0.8537172079086304,0.8590339422225952,0.8593853712081909,0.8632583618164062,0.8191009759902954,0.8818358182907104,0.8711791634559631,0.8476701974868774
gwie,0.8294399976730347,0.8336948156356812,0.8382824659347534,0.8199809193611145,0.916528582572937,0.8406257629394531,0.8609498739242554,0.8410132527351379,0.8100717067718506,0.8522539138793945,0.8611555099487305,0.8519653081893921,0.8208496570587158,0.8629915714263916,0.8527112007141113,0.8140299916267395,0.8088107109069824,0.8504548668861389,0.8386771082878113,0.8129446506500244,0.812281608581543,0.844959020614624,0.8348910808563232,0.8677600622177124,0.8518693447113037,0.8427283763885498,0.8526830673217773,0.8369991779327393,0.8519628047943115,0.8231308460235596,0.8350579142570496,0.8282670378684998,0.8452289700508118,0.8205281496047974,0.842273473739624,0.8534861207008362,0.8261799812316895,0.7833375334739685,0.8129034638404846,0.7822540998458862,0.8432729244232178,0.8394225835800171,0.8174965381622314,0.849432110786438,0.8359906673431396,0.8474851846694946,0.806179940700531,0.8594316244125366,0.8611395955085754,0.8264158964157104
gwirl,0.8305348753929138,0.8314429521560669,0.8456017971038818,0.8290755748748779,0.9121730923652649,0.8474259376525879,0.86740642786026,0.8366908431053162,0.8468376398086548,0.8578811883926392,0.8650354146957397,0.8563488125801086,0.8306509256362915,0.8683887720108032,0.8626688718795776,0.8278217315673828,0.8213468194007874,0.8500401973724365,0.8389491438865662,0.8156126737594604,0.8280372023582458,0.8578548431396484,0.8506283760070801,0.8630614280700684,0.8529399633407593,0.8424093723297119,0.8578505516052246,0.8596731424331665,0.8534227609634399,0.8368658423423767,0.8352833390235901,0.8273221850395203,0.8504378795623779,0.8328121900558472,0.8482924103736877,0.8603731393814087,0.8283032178878784,0.8045802712440491,0.8353623747825623,0.7937026619911194,0.841401219367981,0.840065598487854,0.8347165584564209,0.8515004515647888,0.8431892395019531,0.8545818328857422,0.8245142698287964,0.867466926574707,0.8637309074401855,0.8314659595489502
gwotch,0.8644962310791016,0.8651020526885986,0.8716623783111572,0.8707548379898071,0.9045644998550415,0.8727842569351196,0.8868805170059204,0.8703178763389587,0.8681919574737549,0.8776659369468689,0.8979339599609375,0.8854449987411499,0.8541171550750732,0.8883008360862732,0.8913935422897339,0.8424500226974487,0.8525954484939575,0.877505362033844,0.8674479722976685,0.8489260673522949,0.8635860085487366,0.8813865184783936,0.8794542551040649,0.8814666867256165,0.8830572366714478,0.8775154948234558,0.8851949572563171,0.8795270919799805,0.8775802850723267,0.8734499216079712,0.8667502403259277,0.8286565542221069,0.8764499425888062,0.8555439710617065,0.8707090616226196,0.8774895668029785,0.8440845012664795,0.8443926572799683,0.869900107383728,0.8183698654174805,0.8520928621292114,0.8528821468353271,0.8658031225204468,0.884891927242279,0.8838447332382202,0.8818929195404053,0.8481013774871826,0.8955518007278442,0.8944920301437378,0.8625811338424683
holve,0.8816100358963013,0.8777965307235718,0.9202545285224915,0.8899297118186951,0.8815799951553345,0.8953144550323486,0.9225423336029053,0.9035849571228027,0.8720151782035828,0.8970240950584412,0.9295268058776855,0.9250656366348267,0.9095196723937988,0.9213773012161255,0.9068946838378906,0.8641232252120972,0.8806813955307007,0.9173443913459778,0.9015893936157227,0.8834376335144043,0.8961682319641113,0.9271597862243652,0.8791927099227905,0.8912445306777954,0.917233943939209,0.9157088994979858,0.9160719513893127,0.8951702117919922,0.904525637626648,0.8926752805709839,0.8717231750488281,0.8247045278549194,0.9113511443138123,0.8839514255523682,0.907288670539856,0.9091432094573975,0.8547592163085938,0.8583258390426636,0.8942985534667969,0.8268417119979858,0.8775894045829773,0.8553988337516785,0.8762086629867554,0.9086148738861084,0.9206768274307251,0.9163503646850586,0.8601295948028564,0.9442253112792969,0.9266756176948547,0.8907720446586609
hupe,0.8759040236473083,0.8804129362106323,0.9124088287353516,0.892482340335846,0.8842787146568298,0.8917892575263977,0.916839063167572,0.9102479219436646,0.8706136345863342,0.8933144807815552,0.9269492030143738,0.9251182079315186,0.8999874591827393,0.9200574159622192,0.892874002456665,0.8690639734268188,0.8720835447311401,0.9004958271980286,0.8860564827919006,0.8738870620727539,0.8764999508857727,0.9157512187957764,0.8706743717193604,0.8775595426559448,0.916452169418335,0.9020428657531738,0.9081106185913086,0.8934140205383301,0.8958993554115295,0.8837456107139587,0.8684247732162476,0.8221832513809204,0.9051530957221985,0.9026445150375366,0.8989084959030151,0.9074465036392212,0.8617091178894043,0.837890625,0.8839274644851685,0.8182839155197144,0.8818837404251099,0.8542100191116333,0.8914893865585327,0.9036517143249512,0.907723605632782,0.912642776966095,0.8515080213546753,0.9392309188842773,0.9233646392822266,0.8884812593460083
janc,0.8797638416290283,0.8791745901107788,0.9072375297546387,0.8785709142684937,0.8957420587539673,0.8862745761871338,0.9042112827301025,0.8940190672874451,0.8580275177955627,0.8867323994636536,0.9186456203460693,0.9129101634025574,0.8832899332046509,0.9069139957427979,0.8905727863311768,0.8472457528114319,0.8665679693222046,0.8938515186309814,0.8797236680984497,0.8643460273742676,0.8701733350753784,0.9038394689559937,0.8642760515213013,0.8704785108566284,0.9039363861083984,0.8975733518600464,0.9006739854812622,0.8796455264091492,0.891079306602478,0.8925712704658508,0.8646634221076965,0.8320349454879761,0.8952353000640869,0.8766463398933411,0.8929407000541687,0.8929777145385742,0.8522040843963623,0.8490184545516968,0.8683141469955444,0.8059173822402954,0.8690392971038818,0.8527451157569885,0.8774645328521729,0.901297390460968,0.9039252400398254,0.9046081304550171,0.8433244228363037,0.9262253046035767,0.9153811931610107,0.8832893371582031
